sensor_values,PredictedAnamoly,machine_status
2.459491,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.465394,1,NORMAL
2.444734,1,NORMAL
2.456539,1,NORMAL
2.448669,1,NORMAL
2.45162,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.465394,1,NORMAL
2.448669,1,NORMAL
2.468345,1,NORMAL
2.440799,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.453588,1,NORMAL
2.455556,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.441782,1,NORMAL
2.441782,1,NORMAL
2.463426,1,NORMAL
2.446702,1,NORMAL
2.453588,1,NORMAL
2.459491,1,NORMAL
2.445718,1,NORMAL
2.445718,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.461458,1,NORMAL
2.445718,1,NORMAL
2.453588,1,NORMAL
2.455556,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.44375,1,NORMAL
2.46441,1,NORMAL
2.46441,1,NORMAL
2.456539,1,NORMAL
2.453588,1,NORMAL
2.446702,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.456539,1,NORMAL
2.45162,1,NORMAL
2.448669,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.441782,1,NORMAL
2.468345,1,NORMAL
2.444734,1,NORMAL
2.456539,1,NORMAL
2.455556,1,NORMAL
2.445718,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.468345,1,NORMAL
2.444734,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.456539,1,NORMAL
2.45162,1,NORMAL
2.449653,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.445718,1,NORMAL
2.454572,1,NORMAL
2.463426,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.468345,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.448669,1,NORMAL
2.459491,1,NORMAL
2.45162,1,NORMAL
2.448669,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.468345,1,NORMAL
2.441782,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.456539,1,NORMAL
2.45162,1,NORMAL
2.449653,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.456539,1,NORMAL
2.45162,1,NORMAL
2.449653,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.459491,1,NORMAL
2.449653,1,NORMAL
2.449653,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.459491,1,NORMAL
2.449653,1,NORMAL
2.45162,1,NORMAL
2.458507,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.441782,1,NORMAL
2.468345,1,NORMAL
2.444734,1,NORMAL
2.459491,1,NORMAL
2.449653,1,NORMAL
2.45162,1,NORMAL
2.456539,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.459491,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.45162,1,NORMAL
2.455556,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.460474,1,NORMAL
2.446702,1,NORMAL
2.45162,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.459491,1,NORMAL
2.449653,1,NORMAL
2.449653,1,NORMAL
2.459491,1,NORMAL
2.444734,1,NORMAL
2.468345,1,NORMAL
2.444734,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.45162,1,NORMAL
2.459491,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.444734,1,NORMAL
2.448669,1,NORMAL
2.453588,1,NORMAL
2.455556,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.460474,1,NORMAL
2.446702,1,NORMAL
2.453588,1,NORMAL
2.455556,1,NORMAL
2.449653,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.460474,1,NORMAL
2.448669,1,NORMAL
2.453588,1,NORMAL
2.454572,1,NORMAL
2.448669,1,NORMAL
2.445718,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.463426,1,NORMAL
2.448669,1,NORMAL
2.455556,1,NORMAL
2.454572,1,NORMAL
2.449653,1,NORMAL
2.460474,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.448669,1,NORMAL
2.455556,1,NORMAL
2.453588,1,NORMAL
2.449653,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.460474,1,NORMAL
2.448669,1,NORMAL
2.45162,1,NORMAL
2.455556,1,NORMAL
2.448669,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.460474,1,NORMAL
2.448669,1,NORMAL
2.455556,1,NORMAL
2.453588,1,NORMAL
2.448669,1,NORMAL
2.461458,1,NORMAL
2.445718,1,NORMAL
2.468345,1,NORMAL
2.445718,1,NORMAL
2.460474,1,NORMAL
2.446702,1,NORMAL
2.455556,1,NORMAL
2.45162,1,NORMAL
2.450637,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.448669,1,NORMAL
2.460474,1,NORMAL
2.449653,1,NORMAL
2.455556,1,NORMAL
2.45162,1,NORMAL
2.449653,1,NORMAL
2.460474,1,NORMAL
2.449653,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.448669,1,NORMAL
2.448669,1,NORMAL
2.453588,1,NORMAL
2.456539,1,NORMAL
2.449653,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.448669,1,NORMAL
2.456539,1,NORMAL
2.45162,1,NORMAL
2.45162,1,NORMAL
2.458507,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.46441,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.456539,1,NORMAL
2.450637,1,NORMAL
2.449653,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.456539,1,NORMAL
2.449653,1,NORMAL
2.45162,1,NORMAL
2.458507,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.468345,1,NORMAL
2.444734,1,NORMAL
2.459491,1,NORMAL
2.450637,1,NORMAL
2.449653,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.459491,1,NORMAL
2.449653,1,NORMAL
2.45162,1,NORMAL
2.456539,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.468345,1,NORMAL
2.444734,1,NORMAL
2.459491,1,NORMAL
2.449653,1,NORMAL
2.45162,1,NORMAL
2.458507,1,NORMAL
2.445718,1,NORMAL
2.465394,1,NORMAL
2.466377,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.453588,1,NORMAL
2.455556,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.448669,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.456539,1,NORMAL
2.45162,1,NORMAL
2.448669,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.455556,1,NORMAL
2.453588,1,NORMAL
2.450637,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.441782,1,NORMAL
2.460474,1,NORMAL
2.448669,1,NORMAL
2.455556,1,NORMAL
2.45162,1,NORMAL
2.448669,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.468345,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.453588,1,NORMAL
2.453588,1,NORMAL
2.449653,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.456539,1,NORMAL
2.45162,1,NORMAL
2.449653,1,NORMAL
2.459491,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.441782,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.456539,1,NORMAL
2.45162,1,NORMAL
2.45162,1,NORMAL
2.460474,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.460474,1,NORMAL
2.449653,1,NORMAL
2.455556,1,NORMAL
2.455556,1,NORMAL
2.449653,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.455556,1,NORMAL
2.45162,1,NORMAL
2.449653,1,NORMAL
2.460474,1,NORMAL
2.444734,1,NORMAL
2.468345,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.455556,1,NORMAL
2.450637,1,NORMAL
2.449653,1,NORMAL
2.459491,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.446702,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.456539,1,NORMAL
2.45162,1,NORMAL
2.45162,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.444734,1,NORMAL
2.450637,1,NORMAL
2.45162,1,NORMAL
2.458507,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.448669,1,NORMAL
2.453588,1,NORMAL
2.459491,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.448669,1,NORMAL
2.445718,1,NORMAL
2.445718,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.453588,1,NORMAL
2.455556,1,NORMAL
2.449653,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.456539,1,NORMAL
2.454572,1,NORMAL
2.448669,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.468345,1,NORMAL
2.445718,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.453588,1,NORMAL
2.455556,1,NORMAL
2.446702,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.455556,1,NORMAL
2.453588,1,NORMAL
2.448669,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.456539,1,NORMAL
2.45162,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.456539,1,NORMAL
2.453588,1,NORMAL
2.449653,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.456539,1,NORMAL
2.45162,1,NORMAL
2.460474,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.455556,1,NORMAL
2.449653,1,NORMAL
2.45162,1,NORMAL
2.461458,1,NORMAL
2.445718,1,NORMAL
2.468345,1,NORMAL
2.441782,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.456539,1,NORMAL
2.449653,1,NORMAL
2.45162,1,NORMAL
2.460474,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.458507,1,NORMAL
2.450637,1,NORMAL
2.45162,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.456539,1,NORMAL
2.449653,1,NORMAL
2.453588,1,NORMAL
2.456539,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.441782,1,NORMAL
2.466377,1,NORMAL
2.441782,1,NORMAL
2.460474,1,NORMAL
2.446702,1,NORMAL
2.455556,1,NORMAL
2.456539,1,NORMAL
2.448669,1,NORMAL
2.468345,1,NORMAL
2.44375,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.460474,1,NORMAL
2.450637,1,NORMAL
2.453588,1,NORMAL
2.455556,1,NORMAL
2.448669,1,NORMAL
2.468345,1,NORMAL
2.444734,1,NORMAL
2.468345,1,NORMAL
2.456539,1,NORMAL
2.456539,1,NORMAL
2.45162,1,NORMAL
2.453588,1,NORMAL
2.456539,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.448669,1,NORMAL
2.455556,1,NORMAL
2.455556,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.460474,1,NORMAL
2.448669,1,NORMAL
2.453588,1,NORMAL
2.455556,1,NORMAL
2.448669,1,NORMAL
2.463426,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.45162,1,NORMAL
2.456539,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.465394,1,NORMAL
2.444734,1,NORMAL
2.460474,1,NORMAL
2.449653,1,NORMAL
2.453588,1,NORMAL
2.456539,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.456539,1,NORMAL
2.449653,1,NORMAL
2.45162,1,NORMAL
2.456539,1,NORMAL
2.446702,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.456539,1,NORMAL
2.448669,1,NORMAL
2.453588,1,NORMAL
2.458507,1,NORMAL
2.458507,1,NORMAL
2.450637,1,NORMAL
2.450637,1,NORMAL
2.463426,1,NORMAL
2.448669,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.453588,1,NORMAL
2.455556,1,NORMAL
2.449653,1,NORMAL
2.463426,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.441782,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.454572,1,NORMAL
2.453588,1,NORMAL
2.449653,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.460474,1,NORMAL
2.448669,1,NORMAL
2.455556,1,NORMAL
2.45162,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.468345,1,NORMAL
2.441782,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.453588,1,NORMAL
2.450637,1,NORMAL
2.449653,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.44375,1,NORMAL
2.456539,1,NORMAL
2.449653,1,NORMAL
2.453588,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.445718,1,NORMAL
2.450637,1,NORMAL
2.45162,1,NORMAL
2.456539,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.448669,1,NORMAL
2.448669,1,NORMAL
2.453588,1,NORMAL
2.456539,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.453588,1,NORMAL
2.455556,1,NORMAL
2.449653,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.454572,1,NORMAL
2.456539,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.460474,1,NORMAL
2.448669,1,NORMAL
2.45162,1,NORMAL
2.455556,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.459491,1,NORMAL
2.449653,1,NORMAL
2.45162,1,NORMAL
2.455556,1,NORMAL
2.448669,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.46441,1,NORMAL
2.440799,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.45162,1,NORMAL
2.455556,1,NORMAL
2.449653,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.441782,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.45162,1,NORMAL
2.456539,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.466377,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.453588,1,NORMAL
2.455556,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.455556,1,NORMAL
2.454572,1,NORMAL
2.449653,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.468345,1,NORMAL
2.440799,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.456539,1,NORMAL
2.453588,1,NORMAL
2.449653,1,NORMAL
2.46441,1,NORMAL
2.441782,1,NORMAL
2.470313,1,NORMAL
2.440799,1,NORMAL
2.463426,1,NORMAL
2.448669,1,NORMAL
2.455556,1,NORMAL
2.454572,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.468345,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.455556,1,NORMAL
2.453588,1,NORMAL
2.449653,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.44375,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.456539,1,NORMAL
2.453588,1,NORMAL
2.450637,1,NORMAL
2.460474,1,NORMAL
2.448669,1,NORMAL
2.465394,1,NORMAL
2.444734,1,NORMAL
2.46441,1,NORMAL
2.441782,1,NORMAL
2.456539,1,NORMAL
2.45162,1,NORMAL
2.45162,1,NORMAL
2.460474,1,NORMAL
2.449653,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.453588,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.438831,1,NORMAL
2.459491,1,NORMAL
2.459491,1,NORMAL
2.453588,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.445718,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.453588,1,NORMAL
2.458507,1,NORMAL
2.449653,1,NORMAL
2.46441,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.456539,1,NORMAL
2.449653,1,NORMAL
2.453588,1,NORMAL
2.458507,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.440799,1,NORMAL
2.456539,1,NORMAL
2.45162,1,NORMAL
2.453588,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.448669,1,NORMAL
2.444734,1,NORMAL
2.468345,1,NORMAL
2.441782,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.455556,1,NORMAL
2.455556,1,NORMAL
2.453588,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.440799,1,NORMAL
2.440799,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.455556,1,NORMAL
2.455556,1,NORMAL
2.449653,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.468345,1,NORMAL
2.440799,1,NORMAL
2.460474,1,NORMAL
2.444734,1,NORMAL
2.453588,1,NORMAL
2.456539,1,NORMAL
2.449653,1,NORMAL
2.461458,1,NORMAL
2.444734,1,NORMAL
2.468345,1,NORMAL
2.444734,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.455556,1,NORMAL
2.453588,1,NORMAL
2.449653,1,NORMAL
2.460474,1,NORMAL
2.448669,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.444734,1,NORMAL
2.455556,1,NORMAL
2.453588,1,NORMAL
2.45162,1,NORMAL
2.463426,1,NORMAL
2.463426,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.463426,1,NORMAL
2.445718,1,NORMAL
2.455556,1,NORMAL
2.453588,1,NORMAL
2.449653,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.468345,1,NORMAL
2.444734,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.456539,1,NORMAL
2.453588,1,NORMAL
2.45162,1,NORMAL
2.461458,1,NORMAL
2.445718,1,NORMAL
2.468345,1,NORMAL
2.441782,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.444734,1,NORMAL
2.45162,1,NORMAL
2.460474,1,NORMAL
2.460474,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.441782,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.459491,1,NORMAL
2.449653,1,NORMAL
2.453588,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.468345,1,NORMAL
2.444734,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.455556,1,NORMAL
2.449653,1,NORMAL
2.45162,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.46441,1,NORMAL
2.445718,1,NORMAL
2.456539,1,NORMAL
2.449653,1,NORMAL
2.45162,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.466377,1,NORMAL
2.441782,1,NORMAL
2.459491,1,NORMAL
2.459491,1,NORMAL
2.453588,1,NORMAL
2.459491,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.444734,1,NORMAL
2.46441,1,NORMAL
2.444734,1,NORMAL
2.459491,1,NORMAL
2.448669,1,NORMAL
2.45162,1,NORMAL
2.460474,1,NORMAL
2.445718,1,NORMAL
2.466377,1,NORMAL
2.466377,1,NORMAL
2.466377,1,NORMAL
2.44375,1,NORMAL
2.459491,1,NORMAL
